"id","name english","script name","type","author","rarity","cost","required wave level","specials","ability list","aura list","autocast list","script path","icon","name","description"
106,"Spider Silk","Item106","regular","Neotopia","common",263,17,"MOD_DMG_TO_AIR,0.5,0.01",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/animals/spider_01.tres","43KF","J5Z4"
107,"Troll Voodoo Mask","Item107","regular","Neotopia","common",831,62,"MOD_MANA_PERC,0.3,0|MOD_MANA_REGEN_PERC,0.3,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/masks/mask_01.tres","HUOE","XN8W"
108,"Expanding Mind","Item108","regular","drol","uncommon",154,5,"MOD_EXP_RECEIVED,0.5,-0.02",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/mechanical/alchemy_kit_01.tres","N460","JC2E"
109,"Magic Flower","Item109","regular","drol","uncommon",172,6,"MOD_SPELL_DAMAGE_DEALT,0,0.01",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/plants/flower_01.tres","0ZK2","EQGD"
110,"Mark of the Talon","Item110","regular","drol","uncommon",172,6,"MOD_ATTACKSPEED,0.04,0|MOD_SPELL_DAMAGE_DEALT,0.04,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/animals/rooster_warrior.tres","G0DX","SDLA"
111,"Mark of the Claw","Item111","regular","drol","uncommon",172,6,"MOD_DAMAGE_ADD_PERC,0.07,0|MOD_SPELL_DAMAGE_DEALT,0.04,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/magic/claw_03.tres","GP7N","Q9BX"
112,"Flawless Sapphire","Item112","regular","drol","uncommon",386,19,"MOD_BOUNTY_RECEIVED,0,0.03",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gems/earring_01.tres","DIHS","IV0L"
113,"Small Orb","Item113","regular","Majildian","common",154,8,"MOD_SPELL_CRIT_DAMAGE,0.39,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/orbs/orb_small.tres","9BH6","AC8C"
114,"Support Column","Item114","regular","drol","uncommon",244,11,"MOD_ITEM_CHANCE_ON_KILL,0.05,0|MOD_ITEM_QUALITY_ON_KILL,0.075,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/blunt_weapons/wood_04.tres","RYOA","XSEA"
115,"Obsidian Figurine","Item115","regular","drol","uncommon",240,10,"MOD_DEBUFF_DURATION,-0.175,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/statues/statue_03.tres","8QJN","B1BQ"
116,"Shadowfoot's Mantle","Item116","regular","drol","uncommon",1386,81,"MOD_ITEM_QUALITY_ON_KILL,0.45,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/helmets/helmet_05.tres","893D","JNFE"
117,"Blood Crown","Item117","regular","drol","uncommon",1401,82,"MOD_DAMAGE_ADD_PERC,0.15,0|MOD_BOUNTY_RECEIVED,0.55,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/helmets/crown_01.tres","KADB","QMQ8"
118,"Sage's Mask","Item118","regular","drol","uncommon",1426,83,"MOD_MANA_REGEN_PERC,0.86,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/masks/mask_03.tres","N0EW","EFXV"
119,"Knowing Mind","Item119","regular","drol","uncommon",1340,78,"MOD_EXP_RECEIVED,1.1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/magic/lantern.tres","RYDJ","I61O"
120,"Purifying Gloves","Item120","regular","drol","rare",150,2,,"626",,,"res://src/items/item_behaviors/purifying_gloves.gd","res://resources/icons/gloves/gloves_05.tres","VR0B","2BPH"
121,"Basic Wand","Item121","regular","Majildian","common",157,8,"MOD_SPELL_CRIT_CHANCE,0.033,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/staves/wand_04.tres","IYJ1","QI44"
122,"Medallion of Opulence","Item122","regular","Chronos","rare",250,7,,"627",,,"res://src/items/item_behaviors/medallion_of_opulence.gd","res://resources/icons/amulets/amulet_03.tres","WUWK","3KK7"
123,"Troll Charm","Item123","regular","SirCoqaLot.","uncommon",1340,78,"MOD_ATK_CRIT_CHANCE,0.05,0|MOD_BUFF_DURATION,0.3,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/trinkets/trinket_01.tres","VQVV","EGI5"
124,"Scroll of Piercing Magic","Item124","regular","drol","uncommon",300,14,,"628",,,"res://src/items/item_behaviors/scroll_of_piercing_magic.gd","res://resources/icons/scrolls/scroll_03.tres","M4Y0","UPWE"
125,"Mystical Shell","Item125","regular","drol","uncommon",150,5,,"629",,,"res://src/items/item_behaviors/mystical_shell.gd","res://resources/icons/orbs/orb_ice_melting.tres","UGTS","4VV1"
126,"Forcefield Generator","Item126","regular","drol","rare",1600,67,,,"94",,"res://src/items/item_behaviors/forcefield_generator.gd","res://resources/icons/tower_icons/energy_junction.tres","4G3T","V40A"
127,"Crescent Stone","Item127","regular","drol","rare",400,13,,"630",,,"res://src/items/item_behaviors/crescent_stone.gd","res://resources/icons/orbs/moon.tres","LTMA","Q55V"
128,"Dumpster","Item128","regular","Monolith","uncommon",293,14,"MOD_ITEM_CHANCE_ON_KILL,0.3,0.01|MOD_ITEM_QUALITY_ON_KILL,-0.4,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/misc/toolbox_01.tres","2HO9","MKAZ"
129,"Plain Staff","Item129","regular","Majildian","common",151,8,"MOD_SPELL_DAMAGE_DEALT,0.11,0",,,,"res://src/items/item_behaviors/plain_staff.gd","res://resources/icons/staves/staff_02.tres","0NGU","WIJT"
130,"Hippogryph Egg","Item130","regular","drol","rare",600,22,,"631",,,"res://src/items/item_behaviors/hippogryph_egg.gd","res://resources/icons/magic/magic_stone.tres","QJJV","HXLG"
131,"Mana Stone","Item131","regular","F12ight","rare",800,31,,"632, 633","95",,"res://src/items/item_behaviors/mana_stone.gd","res://resources/icons/gems/gem_03.tres","P0DV","0ICG"
132,"Dagger of Bane","Item132","regular","F12ight","unique",700,18,,"634",,,"res://src/items/item_behaviors/dagger_of_bane.gd","res://resources/icons/daggers/dagger_07.tres","Z65L","HGFD"
133,"The Sucona","Item133","regular","cedi","rare",1788,75,"MOD_DMG_TO_NATURE,2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/mechanical/factory_gears.tres","BX1A","82QP"
134,"Beast Head","Item134","regular","cedi","uncommon",1525,89,"MOD_DPS_ADD,1230,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/tower_icons/wild_warbeast.tres","PEP7","8UJP"
135,"Training Manual","Item135","regular","Majildian","common",154,8,"MOD_EXP_RECEIVED,0.26,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/shields/shield_with_gold_helmet.tres","QJHT","8TDE"
136,"Grand Seal of Pickiness","Item136","regular","Glowackos","uncommon",1176,68,"MOD_ITEM_CHANCE_ON_KILL,-0.35,0|MOD_ITEM_QUALITY_ON_KILL,0.75,0.01",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/trinkets/trinket_09.tres","F076","GHPN"
137,"Pendant of Promptness","Item137","regular","Glowackos","unique",2505,76,"MOD_ATTACKSPEED,0.75,0.01","635",,,"res://src/items/item_behaviors/pendant_of_promptness.gd","res://resources/icons/amulets/amulet_02.tres","CSKE","S39X"
138,"Bartuc's Spirit","Item138","regular","Bartuck","rare",1000,40,,"636",,,"res://src/items/item_behaviors/bartucs_spirit.gd","res://resources/icons/faces/orc_02.tres","943G","EY9L"
139,"Diamond of Greed","Item139","regular","Majildian","uncommon",540,29,"MOD_BOUNTY_RECEIVED,0.45,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gems/gem_06.tres","YF4N","5HSJ"
140,"Chrono Jumper","Item140","regular","axllow","unique",770,20,,,,"162","res://src/items/item_behaviors/chrono_jumper.gd","res://resources/icons/mechanical/mech_umbrella.tres","FVLQ","92O4"
141,"Magician's Doorkey","Item141","regular","Majildian","uncommon",540,29,"MOD_SPELL_CRIT_CHANCE,0.075,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/trinkets/key_02.tres","9IIE","S46V"
142,"Jah'Rakal's Fury","Item142","regular","Der_kleine_Tomy","unique",1000,28,,"637",,,"res://src/items/item_behaviors/jah_rakals_fury.gd","res://resources/icons/faces/orc_01.tres","QY11","E4OU"
143,"Blunt Dagger","Item143","regular","Majildian","common",145,7,"MOD_ATK_CRIT_CHANCE,0.025,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/daggers/dagger_01.tres","GCX5","UP7E"
144,"Wanted List","Item144","regular","Lapsus","uncommon",148,5,,"638",,,"res://src/items/item_behaviors/wanted_list.gd","res://resources/icons/books/note_02.tres","7C7V","04J0"
145,"Shiny Emerald","Item145","regular","poussix","uncommon",406,20,"MOD_ATTACKSPEED,-0.1,0|MOD_SPELL_DAMAGE_DEALT,0.05,0.01|MOD_TRIGGER_CHANCES,0.05,0.01",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gems/gem_04.tres","ND8H","3GNK"
146,"Toy Boy","Item146","regular","cedi","rare",1970,83,"MOD_DAMAGE_ADD_PERC,0.5,0.01","639",,,"res://src/items/item_behaviors/toy_boy.gd","res://resources/icons/animals/piglet_warrior.tres","EGWN","WSNH"
147,"Dull Gem","Item147","regular","Majildian","common",154,8,"MOD_BOUNTY_RECEIVED,0.195,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gems/earring_03.tres","FK8S","VN8D"
148,"Naga Trident","Item148","regular","poussix","uncommon",1364,79,"MOD_ATTACKSPEED,-0.07,0|MOD_ATK_CRIT_CHANCE,0.08,0|MOD_ATK_CRIT_DAMAGE,0.8,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/weapons_misc/trident_02.tres","824L","VMS1"
149,"Jungle Stalker's Doll","Item149","regular","poussix","unique",500,12,"MOD_ATK_CRIT_CHANCE,0.025,0.001","640",,,"res://src/items/item_behaviors/jungle_stalkers_doll.gd","res://resources/icons/misc/spiky_totem_02.tres","T4EL","7F04"
150,"Panda Dress","Item150","regular","poussix","uncommon",1414,83,"MOD_SPELL_DAMAGE_DEALT,0.1,0|MOD_TRIGGER_CHANCES,0.05,0.01|MOD_BUFF_DURATION,0.05,0.01",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/tower_icons/polar_bear_cub.tres","J40U","96NN"
151,"Wise Man's Cooking Recipe","Item151","regular","SternBogen","uncommon",285,13,"MOD_ATTACKSPEED,-0.05,0","641",,,"res://src/items/item_behaviors/wise_mans_cooking_recipe.gd","res://resources/icons/books/note_04.tres","7WCC","HEXL"
152,"Writer's Knowledge","Item152","regular","poussix","rare",250,7,"MOD_DAMAGE_ADD_PERC,0,-0.008|MOD_EXP_RECEIVED,0.4,-0.008","642",,,"res://src/items/item_behaviors/writers_knowledge.gd","res://resources/icons/faces/man_02.tres","HLAH","5LFI"
153,"Ring of Luck","Item153","regular","Majildian","common",151,8,"MOD_TRIGGER_CHANCES,0.077,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/rings/ring_05.tres","SMCK","BTWT"
154,"Elite Sharp Shooter","Item154","regular","SternBogen","rare",1656,69,"MOD_ATTACKSPEED,-0.35,0|MOD_ATK_CRIT_CHANCE,0.05,0|MOD_ATK_CRIT_DAMAGE,0.5,0|MOD_MULTICRIT_COUNT,2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/cannons/cannon_06.tres","3N6Z","TMMB"
155,"Holy Axe","Item155","regular","Boekie","common",36,0,"MOD_DMG_TO_UNDEAD,0.15,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/holy/axe.tres","9RGG","5GQL"
156,"Sign of Energy Infusion","Item156","regular","cedi","rare",630,24,,"643",,,"res://src/items/item_behaviors/sign_of_energy_infusion.gd","res://resources/icons/furniture/furniture.tres","8BIM","T5DX"
157,"Enchanted Bird Figurine","Item157","regular","drol","common",1092,83,"MOD_TRIGGER_CHANCES,0.12,0|MOD_BUFF_DURATION,0.28,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/tower_icons/harpy_witch.tres","A2TC","AEFB"
158,"Mining Tools","Item158","regular","drol","uncommon",20,0,,"644",,,"res://src/items/item_behaviors/mining_tools.gd","res://resources/icons/misc/toolbox_02.tres","16L5","D8G7"
159,"Charged Disk","Item159","regular","drol","uncommon",50,0,,"645",,,"res://src/items/item_behaviors/charged_disk.gd","res://resources/icons/electricity/lightning_circle_cyan.tres","OFMW","YN6K"
160,"Young Thief's Cloak","Item160","regular","Majildian","common",156,8,"MOD_ITEM_QUALITY_ON_KILL,0.105,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/armor/coat.tres","XBFN","6GFR"
161,"Commander","Item161","regular","SternBogen","rare",612,23,,"646",,,"res://src/items/item_behaviors/commander.gd","res://resources/icons/misc/red_knight.tres","L64Z","PI3D"
162,"Glaive of Supreme Follow Up","Item162","regular","cedi","unique",2100,63,,"647",,,"res://src/items/item_behaviors/glaive_of_supreme_follow_up.gd","res://resources/icons/weapons_misc/glaive_02.tres","G572","ZRYC"
163,"Skull Trophy","Item163","regular","drol","common",147,7,"MOD_DPS_ADD,100,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/undead/skull_01.tres","JX75","7PUH"
164,"Tooth Trophy","Item164","regular","drol","common",623,45,"MOD_DPS_ADD,450,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/trinkets/claw_01.tres","UOIS","T6VW"
165,"Basics of Calculus","Item165","regular","drol","rare",425,14,,,,"163","res://src/items/item_behaviors/basics_of_calculus.gd","res://resources/icons/scrolls/scroll_07.tres","6PC0","YSCI"
166,"Wand of Mana Zap","Item166","regular","drol","rare",700,27,,"648",,,"res://src/items/item_behaviors/wand_of_mana_zap.gd","res://resources/icons/tower_icons/genis_sage.tres","R1MB","9D5R"
167,"Never-ending Keg","Item167","regular","cedi","rare",1177,48,"MOD_ATK_CRIT_DAMAGE,0.65,0|MOD_MULTICRIT_COUNT,1,0","649",,,"res://src/items/item_behaviors/never-ending_keg.gd","res://resources/icons/food/barrel.tres","WCZ2","RI1P"
168,"Scarab Amulet","Item168","regular","drol","common",210,12,"MOD_DAMAGE_ADD_PERC,0.12,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/tower_variations/undisturbed_crypt_gold.tres","T5PV","NSCF"
169,"Tree Branch","Item169","regular","Boekie","common",36,0,"MOD_DMG_TO_ORC,0.15,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/plants/branch_01.tres","2CCE","33MV"
170,"Crystallized Scales","Item170","regular","drol","uncommon",386,19,"MOD_EXP_RECEIVED,0.24,0|MOD_BOUNTY_RECEIVED,0.18,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gems/stone_02.tres","YI1H","J1FS"
171,"Eternium Blade","Item171","regular","Majildian","rare",2135,90,"MOD_DPS_ADD,1250,50",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/swords/sword_03.tres","2N2I","X2F5"
172,"Sacred Halo","Item172","regular","drol","common",1092,83,"MOD_DMG_TO_UNDEAD,0.84,0|MOD_DEBUFF_DURATION,-0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/helmets/crown_02.tres","MILV","SS6J"
173,"Railgun","Item173","regular","drol","common",1047,79,"MOD_DMG_TO_HUMANOID,0.6,0|MOD_DAMAGE_ADD_PERC,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/cannons/cannon_05.tres","IYDV","GZSX"
174,"Essence of Rot","Item174","regular","Majildian","rare",1300,53,,,"96,97",,"res://src/items/item_behaviors/essence_of_rot.gd","res://resources/icons/misc/poison_02.tres","LIZF","VQ5N"
175,"Toxic Chemicals","Item175","regular","Majildian","uncommon",386,19,"MOD_DMG_TO_NATURE,0.72,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/misc/poison_01.tres","V523","NV40"
176,"Runed Wood","Item176","regular","drol","common",1042,79,"MOD_SPELL_DAMAGE_DEALT,0.27,0|MOD_ITEM_QUALITY_ON_KILL,0.12,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/blunt_weapons/wood_01.tres","BM8C","P4OK"
177,"Undead Claws","Item177","regular","Boekie","common",36,0,"MOD_DMG_TO_NATURE,0.15,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/undead/skull_wand_01.tres","V15N","4QKI"
178,"Dark Matter Trident","Item178","regular","cedi","unique",410,9,,"650",,,"res://src/items/item_behaviors/dark_matter_trident.gd","res://resources/icons/bows/bow_06.tres","OLSP","IZT0"
179,"Ritual Talisman","Item179","regular","drol","rare",576,21,,,,"164","res://src/items/item_behaviors/ritual_talisman.gd","res://resources/icons/undead/skull_doll.tres","XF5V","IBNX"
180,"Libram of Grace","Item180","regular","drol","rare",250,7,,,"98",,"res://src/items/item_behaviors/libram_of_grace.gd","res://resources/icons/tower_icons/basic_knowledge.tres","TK8Q","ZCLT"
181,"Bloodthirsty Wheel of Fortune","Item181","regular","Palandu","rare",540,20,,"651",,,"res://src/items/item_behaviors/bloodthirsty_wheel_of_fortune.gd","res://resources/icons/undead/demon_emblem.tres","ZSY2","TCFF"
182,"Spider Broach","Item182","regular","drol","uncommon",1250,72,,"652",,,"res://src/items/item_behaviors/spider_broach.gd","res://resources/icons/animals/spider_02.tres","3R1F","5IXW"
183,"Mighty Tree's Acorns","Item183","regular","poussix","unique",250,"because we all love them","MOD_DAMAGE_ADD_PERC,-0.2,0|MOD_SPELL_DAMAGE_DEALT,-0.2,0",,"99",,"res://src/items/item_behaviors/mighty_trees_acorns.gd","res://resources/icons/dioramas/church.tres","QEQR","QKJ1"
184,"Soul Collectors Cloak","Item184","regular","cedi","unique",1000,28,,"653",,,"res://src/items/item_behaviors/soul_collectors_cloak.gd","res://resources/icons/shields/shield_skull.tres","S7YY","Z0N4"
185,"Sniper","Item185","regular","Boekie","common",36,0,"MOD_DMG_TO_BOSS,0.15,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/cannons/cannon_01.tres","IDOX","OPGJ"
186,"Liquid Gold","Item186","regular","drol","rare",447,15,"MOD_DAMAGE_ADD_PERC,0.35,0","654",,,"res://src/items/item_behaviors/liquid_gold.gd","res://resources/icons/food/beer_01.tres","1TJZ","KRXZ"
187,"Ogre Staff of Wisdom","Item187","regular","Palandu","uncommon",99,2,"MOD_DAMAGE_ADD_PERC,0.2,0.004|MOD_EXP_RECEIVED,-0.2,0|MOD_BOUNTY_RECEIVED,-0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/staves/staff_01.tres","7RUV","ESO7"
188,"Staff of the Wild Equus","Item188","regular","drol","rare",350,11,,"655",,,"res://src/items/item_behaviors/staff_of_the_wild_equus.gd","res://resources/icons/staves/staff_04.tres","IRYI","XQ4K"
189,"Heavy Crossbow","Item189","regular","drol","common",680,50,"MOD_ATTACKSPEED,0.1,0|MOD_DPS_ADD,215,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/bows/bow_04.tres","TKNH","TJY1"
190,"Demonic Orb","Item190","regular","Majildian","uncommon",540,29,"MOD_SPELL_CRIT_DAMAGE,0.9,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/orbs/orb_molten.tres","95HR","JWCO"
191,"Speed Demon's Reward","Item191","regular","Palandu","uncommon",144,4,,"656",,,"res://src/items/item_behaviors/speed_demons_reward.gd","res://resources/icons/shields/shield_with_emblem.tres","80LH","0BRJ"
192,"Deep Shadows","Item192","regular","cedi","uncommon",300,14,,"657",,,"res://src/items/item_behaviors/deep_shadows.gd","res://resources/icons/fire/flame_purple.tres","BD7M","0BFA"
193,"Staff of Essence","Item193","regular","cedi","unique",2200,66,,"658",,,"res://src/items/item_behaviors/staff_of_essence.gd","res://resources/icons/staves/staff_03.tres","6CUZ","4USF"
194,"Bones of Essence","Item194","regular","cedi","uncommon",500,26,,"659",,,"res://src/items/item_behaviors/bones_of_essence.gd","res://resources/icons/undead/skull_wand_04.tres","T750","G74F"
195,"Aqueous Vapor","Item195","regular","cedi","uncommon",300,14,,"660",,,"res://src/items/item_behaviors/aqueous_vapor.gd","res://resources/icons/potions/beaker_03.tres","86N8","E8Q5"
196,"Glowing Gauntlets","Item196","regular","Majildian","uncommon",486,25,"MOD_ATTACKSPEED,0.12,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gloves/gloves_02.tres","U7NN","CS21"
197,"Magnetic Field","Item197","regular","DaveMatthews","rare",1000,40,,,"100",,"res://src/items/item_behaviors/magnetic_field.gd","res://resources/icons/dioramas/fountain.tres","VXY9","5QBJ"
198,"Frog Pipe","Item198","regular","Deemzul","unique",1650,48,,"661",,,"res://src/items/item_behaviors/frog_pipe.gd","res://resources/icons/misc/teapot_02.tres","1SVJ","1JMV"
199,"Dowsing Rod","Item199","regular","YouJizzTD","uncommon",223,9,"MOD_DAMAGE_ADD_PERC,-0.1,0|MOD_SPELL_DAMAGE_DEALT,-0.1,0|MOD_ITEM_CHANCE_ON_KILL,0.25,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/daggers/dagger_05.tres","8ZTQ","HKNV"
200,"Spellbook of Item Mastery","Item200","regular","Majildian","unique",1500,44,,"662",,,"res://src/items/item_behaviors/spellbook_of_item_mastery.gd","res://resources/icons/books/book_07.tres","Y3QD","EX7P"
201,"Even More Magical Hammer","Item201","regular","cedi","unique",1000,28,,"663",,,"res://src/items/item_behaviors/even_more_magical_hammer.gd","res://resources/icons/blunt_weapons/hammer_04.tres","KJV4","QFBY"
202,"Optimist's Preserved Face","Item202","regular","cedi","rare",650,24,,"664",,,"res://src/items/item_behaviors/optimists_preserved_face.gd","res://resources/icons/undead/skull_04.tres","Q2O3","KMGP"
203,"Sword of Reckoning","Item203","regular","drol","rare",400,13,,,"101",,"res://src/items/item_behaviors/sword_of_reckoning.gd","res://resources/icons/swords/greatsword_05.tres","VWRS","RH4M"
204,"Sparkling Staff","Item204","regular","Majildian","uncommon",517,27,"MOD_SPELL_DAMAGE_DEALT,0.25,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/staves/wand_03.tres","2YZ0","TOO8"
205,"Sword of Decay","Item205","regular","drol","rare",400,13,,,"102",,"res://src/items/item_behaviors/sword_of_decay.gd","res://resources/icons/swords/greatsword_03.tres","H1YN","1JWW"
206,"Mindleecher","Item206","regular","Majildian","rare",750,29,,,,"165","res://src/items/item_behaviors/mindleecher.gd","res://resources/icons/undead/skull_02.tres","QM8H","ZGSC"
207,"M.E.F.I.S. Rocket","Item207","regular","cedi","unique",1500,44,,"665",,,"res://src/items/item_behaviors/mefis_rocket.gd","res://resources/icons/rockets/rocket_05.tres","YRS9","3I9A"
208,"Fragmentation Round","Item208","regular","cedi","unique",2000,60,,"666",,,"res://src/items/item_behaviors/fragmentation_round.gd","res://resources/icons/misc/grenade.tres","IE8U",
209,"Grounding Gloves","Item209","regular","SirCoqaLot.","unique",1500,44,,"667",,,"res://src/items/item_behaviors/grounding_gloves.gd","res://resources/icons/tower_variations/vulshok_the_berserker_blue.tres","U6X3",
210,"Orb of Souls","Item210","regular","Sunken","uncommon",180,7,,"668",,,"res://src/items/item_behaviors/orb_of_souls.gd","res://resources/icons/orbs/orb_shadow.tres","URN0","QOAK"
211,"Bloodthirsty Axe","Item211","regular","Majildian","uncommon",540,29,"MOD_ATK_CRIT_DAMAGE,0.75,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/furniture/wooden_stand_with_nail.tres","W8DV","OPYI"
212,"Shining Rock","Item212","regular","Deemzul","rare",320,10,,"669",,,"res://src/items/item_behaviors/shining_rock.gd","res://resources/icons/gems/stone_04.tres","AFSR","3G4I"
213,"Lich Mask","Item213","regular","cedi","rare",450,16,,"670",,,"res://src/items/item_behaviors/lich_mask.gd","res://resources/icons/helmets/helmet_07.tres","VCER","DBLK"
214,"Brimstone Helmet","Item214","regular","cedi","rare",450,16,,"671",,,"res://src/items/item_behaviors/brimstone_helmet.gd","res://resources/icons/helmets/helmet_01.tres","6X0N","URD5"
215,"Overcharge Shot","Item215","regular","cedi","unique",800,21,,"672",,,"res://src/items/item_behaviors/overcharge_shot.gd","res://resources/icons/rockets/rocket_06.tres","Q11Q","7Q1X"
216,"Pendant of Mana Supremacy","Item216","regular","cedi","unique",1672,49,"MOD_ATTACKSPEED,-0.38,0.01|MOD_MANA_REGEN_PERC,1,0.01","673",,,"res://src/items/item_behaviors/pendant_of_mana_supremacy.gd","res://resources/icons/amulets/amulet_04.tres","D6BS","8AYK"
217,"Share Knowledge","Item217","regular","SternBogen","rare",350,11,,"674",,,"res://src/items/item_behaviors/share_knowledge.gd","res://resources/icons/mechanical/gold_machine.tres","MVCO","0PXV"
218,"Blaster Staff","Item218","regular","cedi","uncommon",60,0,,"675",,,"res://src/items/item_behaviors/blaster_staff.gd","res://resources/icons/trinkets/trinket_10.tres","YB9C","DWE6"
219,"Enchanted Telescope","Item219","regular","Majildian","uncommon",540,29,"MOD_ITEM_CHANCE_ON_KILL,0.18,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/cannons/cannon_02.tres","G60E","48KB"
222,"Book of Knowledge","Item222","regular","Boekie","rare",500,18,,"678",,,"res://src/items/item_behaviors/book_of_knowledge.gd","res://resources/icons/books/book_05.tres","ZKHH","C60P"
223,"Iron Leg","Item223","regular","drol","uncommon",125,3,"MOD_ATK_CRIT_DAMAGE,0.1,0|MOD_ATTACKSPEED,0.01,0|MOD_ATK_CRIT_CHANCE,0.01,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/blunt_weapons/wood_03.tres","VG7L","R91C"
224,"Master Thief's Shroud","Item224","regular","Majildian","uncommon",540,29,"MOD_ITEM_QUALITY_ON_KILL,0.24,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/tower_icons/shadow.tres","ZHWH","Q6U2"
225,"Fiery Assassination Arrow","Item225","regular","drol","uncommon",136,4,"MOD_DMG_TO_CHAMPION,0.2,0|MOD_DMG_TO_BOSS,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/bows/arrow_02.tres","DI5V","X1A9"
226,"Unstable Current","Item226","regular","Finger of Destiny","uncommon",300,14,,"679",,,"res://src/items/item_behaviors/unstable_current.gd","res://resources/icons/electricity/electricity_blue.tres","8MKA","IWC4"
227,"Lunar Essence","Item227","regular","Finger of Destiny","unique",650,16,,"680",,,"res://src/items/item_behaviors/lunar_essence.gd","res://resources/icons/gems/crystal.tres","O3RW","LP87"
228,"Bloody Key","Item228","regular","Finger of Destiny","rare",1000,40,"MOD_EXP_RECEIVED,-0.7,0|MOD_BOUNTY_RECEIVED,-0.7,0",,"103",,"res://src/items/item_behaviors/bloody_key.gd","res://resources/icons/trinkets/key_03.tres","4M3J","1AYL"
