"name english","tier","id","family id","author","rarity","element","attack enabled","attack type","attack range","attack cd","dmg min","dmg max","mana","mana regen","cost","missile speed","missile arc","missile uses lightning visual","attack_target_type","multishot","splash attack","bounce attack","specials","ability list","aura list","autocast list","script path","icon path","sprite path","name","description"
"Xeno Research Facility",1,158,158,"Palandu","unique","iron","TRUE","physical",1200,1.8,1812,1812,0,0,1984,1500,0,"FALSE","CREEPS",,,,,"157","22",,"res://src/towers/tower_behaviors/xeno_research_facility.gd","res://resources/icons/tower_icons/xeno_research_facility.tres","res://src/towers/tower_sprites/xeno_research_facility_1.tscn","8S3S","NM2Y"
"The Omnislasher",1,159,159,"KublaiKhan1","unique","fire","TRUE","physical",1200,5,7109,7109,0,0,3400,1200,0,"FALSE","CREEPS",,,,"MOD_DAMAGE_BASE_PERC,0,0.1","158",,,"res://src/towers/tower_behaviors/the_omnislasher.gd","res://resources/icons/tower_icons/the_omnislasher.tres","res://src/towers/tower_sprites/the_omnislasher_1.tscn","HXOR","438G"
"Sorceress",1,160,160,"cedi","unique","astral","TRUE","arcane",1200,3,5760,5771,0,0,3800,1500,0,"FALSE","CREEPS",,,,,"159",,"47,48,49","res://src/towers/tower_behaviors/sorceress.gd","res://resources/icons/tower_icons/sorceress.tres","res://src/towers/tower_sprites/sorceress_1.tscn","HSWI","YQN1"
"Mossy Acid Sprayer",1,161,161,"cedi","common","iron","TRUE","decay",800,1,11,31,0,0,40,1500,0.15,"FALSE","CREEPS",,,"3,0.15",,"160",,,"res://src/towers/tower_behaviors/mossy_acid_sprayer.gd","res://resources/icons/tower_icons/mossy_acid_sprayer.tres","res://src/towers/tower_sprites/mossy_acid_sprayer_1.tscn","D4JR","LFP7"
"Toxic Mossy Acid Sprayer",2,162,161,"cedi","common","iron","TRUE","decay",800,1,70,90,0,0,160,1500,0.15,"FALSE","CREEPS",,,"3,0.15",,"161",,,"res://src/towers/tower_behaviors/mossy_acid_sprayer.gd","res://resources/icons/tower_icons/mossy_acid_sprayer.tres","res://src/towers/tower_sprites/mossy_acid_sprayer_2.tscn","BIMI","GTJ3"
"Toxic Acid Factory",3,163,161,"cedi","common","iron","TRUE","decay",800,1,223,243,0,0,400,1500,0.15,"FALSE","CREEPS",,,"3,0.15",,"162",,,"res://src/towers/tower_behaviors/mossy_acid_sprayer.gd","res://resources/icons/tower_icons/mossy_acid_sprayer.tres","res://src/towers/tower_sprites/mossy_acid_sprayer_3.tscn","T6UN","VBI4"
"Mutating Acid Factory",4,164,161,"cedi","common","iron","TRUE","decay",800,1,452,472,0,0,1000,1500,0.15,"FALSE","CREEPS",,,"3,0.15",,"163",,,"res://src/towers/tower_behaviors/mossy_acid_sprayer.gd","res://resources/icons/tower_icons/mossy_acid_sprayer.tres","res://src/towers/tower_sprites/mossy_acid_sprayer_4.tscn","8985","FIZY"
"Infested Mutating Acid Factory",5,337,161,"cedi","common","iron","TRUE","decay",800,1,879,899,0,0,2000,1500,0.15,"FALSE","CREEPS",,,"3,0.15",,"164",,,"res://src/towers/tower_behaviors/mossy_acid_sprayer.gd","res://resources/icons/tower_icons/mossy_acid_sprayer.tres","res://src/towers/tower_sprites/mossy_acid_sprayer_5.tscn","5FIG","ETAB"
"Undisturbed Crypt",1,165,165,"eMoo","rare","darkness","TRUE","decay",1000,1.95,696,696,0,0,600,1000,0,"FALSE","CREEPS",,,,,"165,166",,,"res://src/towers/tower_behaviors/undisturbed_crypt.gd","res://resources/icons/tower_icons/undisturbed_crypt.tres","res://src/towers/tower_sprites/undisturbed_crypt_1.tscn","CJPH","JQBI"
"Forsaken Crypt",2,171,165,"eMoo","rare","darkness","TRUE","decay",1000,1.95,1481,1481,0,0,1300,1000,0,"FALSE","CREEPS",,,,,"167,168",,,"res://src/towers/tower_behaviors/undisturbed_crypt.gd","res://resources/icons/tower_icons/undisturbed_crypt.tres","res://src/towers/tower_sprites/undisturbed_crypt_2.tscn","L7EF","YLI9"
"Undeathly Crypt",3,172,165,"eMoo","rare","darkness","TRUE","decay",1000,1.95,2413,2413,0,0,2200,1000,0,"FALSE","CREEPS",,,,,"169,170",,,"res://src/towers/tower_behaviors/undisturbed_crypt.gd","res://resources/icons/tower_icons/undisturbed_crypt.tres","res://src/towers/tower_sprites/undisturbed_crypt_3.tscn","I472","8IOB"
"Unforgiving Crypt",4,173,165,"eMoo","rare","darkness","TRUE","decay",1000,1.95,3586,3586,0,0,3400,1000,0,"FALSE","CREEPS",,,,,"171,172",,,"res://src/towers/tower_behaviors/undisturbed_crypt.gd","res://resources/icons/tower_icons/undisturbed_crypt.tres","res://src/towers/tower_sprites/undisturbed_crypt_4.tscn","CHQB","QRVE"
"Haunted Rubble",1,166,166,"Velex","common","darkness","TRUE","essence",900,2,61,62,0,0,34,900,0.6,"FALSE","CREEPS",,,,,"173",,,"res://src/towers/tower_behaviors/haunted_rubble.gd","res://resources/icons/tower_icons/haunted_rubble.tres","res://src/towers/tower_sprites/haunted_rubble_1.tscn","58FI","27ZX"
"Haunted Debris",2,271,166,"Velex","common","darkness","TRUE","essence",900,2,368,369,0,0,204,900,0.6,"FALSE","CREEPS",,,,,"174",,,"res://src/towers/tower_behaviors/haunted_rubble.gd","res://resources/icons/tower_icons/haunted_rubble.tres","res://src/towers/tower_sprites/haunted_rubble_2.tscn","90WL","SZOZ"
"Haunted Ruins",3,270,166,"Velex","common","darkness","TRUE","essence",900,2,1020,1021,0,0,566,900,0.6,"FALSE","CREEPS",,,,,"175",,,"res://src/towers/tower_behaviors/haunted_rubble.gd","res://resources/icons/tower_icons/haunted_rubble.tres","res://src/towers/tower_sprites/haunted_rubble_3.tscn","2EI7","0UET"
"Haunted Silo",4,269,166,"Velex","common","darkness","TRUE","essence",900,2,2433,2434,0,0,1350,900,0.6,"FALSE","CREEPS",,,,,"176",,,"res://src/towers/tower_behaviors/haunted_rubble.gd","res://resources/icons/tower_icons/haunted_rubble.tres","res://src/towers/tower_sprites/haunted_rubble_4.tscn","Q3OG","T1MT"
"Haunted Soul Mill",5,268,166,"Velex","common","darkness","TRUE","essence",900,2,3966,3967,0,0,2200,900,0.6,"FALSE","CREEPS",,,,,"177",,,"res://src/towers/tower_behaviors/haunted_rubble.gd","res://resources/icons/tower_icons/haunted_rubble.tres","res://src/towers/tower_sprites/haunted_rubble_5.tscn","RMMO","71SH"
"Lightning Eye",1,167,167,"i_m0ck_death","unique","storm","TRUE","energy",800,1.5,1757,1757,200,4,3000,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_BOSS,-0.1,0","178","23",,"res://src/towers/tower_behaviors/lightning_eye.gd","res://resources/icons/tower_icons/lightning_eye.tres","res://src/towers/tower_sprites/lightning_eye_1.tscn","LT77","CNY6"
"Tentacle Spawn",1,169,169,"drol","common","darkness","TRUE","physical",850,1.5,65,76,0,0,60,1600,0,"FALSE","CREEPS",,,,,"179",,,"res://src/towers/tower_behaviors/tentacle_spawn.gd","res://resources/icons/tower_icons/tentacle_spawn.tres","res://src/towers/tower_sprites/tentacle_spawn_1.tscn","20BK","JQW2"
"Tentacle",2,612,169,"drol","common","darkness","TRUE","physical",850,1.5,176,235,0,0,180,1600,0,"FALSE","CREEPS",,,,,"180",,,"res://src/towers/tower_behaviors/tentacle_spawn.gd","res://resources/icons/tower_icons/tentacle_spawn.tres","res://src/towers/tower_sprites/tentacle_spawn_2.tscn","665Z","ND83"
"Starving Tentacle",3,613,169,"drol","common","darkness","TRUE","physical",850,1.5,345,464,0,0,360,1600,0,"FALSE","CREEPS",,,,,"181",,,"res://src/towers/tower_behaviors/tentacle_spawn.gd","res://resources/icons/tower_icons/tentacle_spawn.tres","res://src/towers/tower_sprites/tentacle_spawn_3.tscn","5ORT","S1SI"
"Rending Tentacle",4,614,169,"drol","common","darkness","TRUE","physical",850,1.5,679,918,0,0,720,1600,0,"FALSE","CREEPS",,,,,"182",,,"res://src/towers/tower_behaviors/tentacle_spawn.gd","res://resources/icons/tower_icons/tentacle_spawn.tres","res://src/towers/tower_sprites/tentacle_spawn_4.tscn","HQF9","C19S"
"Revenging Tentacle",5,615,169,"drol","common","darkness","TRUE","physical",850,1.5,1334,1813,0,0,1440,1600,0,"FALSE","CREEPS",,,,,"183",,,"res://src/towers/tower_behaviors/tentacle_spawn.gd","res://resources/icons/tower_icons/tentacle_spawn.tres","res://src/towers/tower_sprites/tentacle_spawn_5.tscn","XCZ1","668F"
"Giant Tentacle",6,616,169,"drol","common","darkness","TRUE","physical",850,1.5,2267,3082,0,0,2448,1600,0,"FALSE","CREEPS",,,,,"184",,,"res://src/towers/tower_behaviors/tentacle_spawn.gd","res://resources/icons/tower_icons/tentacle_spawn.tres","res://src/towers/tower_sprites/tentacle_spawn_6.tscn","DELC","O5AB"
"Wild Warbeast",1,170,170,"SirCoqalot.","unique","nature","TRUE","decay",800,2,1361,2361,0,0,2700,20000,0,"TRUE","CREEPS",,,,,"185","24",,"res://src/towers/tower_behaviors/wild_warbeast.gd","res://resources/icons/tower_icons/wild_warbeast.tres","res://src/towers/tower_sprites/wild_warbeast_1.tscn","VCX1","QOUG"
"Village Witch",1,183,183,"cedi","uncommon","darkness","TRUE","essence",1100,1.6,135,135,30,1.5,150,1100,0,"FALSE","CREEPS",,,,"MOD_MANA,0,1|MOD_MANA_REGEN,0,0.1","186",,"50","res://src/towers/tower_behaviors/village_witch.gd","res://resources/icons/tower_icons/village_witch.tres","res://src/towers/tower_sprites/village_witch_1.tscn","2E5N","KKNS"
"Adept Witch",2,375,183,"cedi","uncommon","darkness","TRUE","essence",1100,1.6,538,538,30,1.5,600,1100,0,"FALSE","CREEPS",,,,"MOD_MANA,0,1|MOD_MANA_REGEN,0,0.1","187",,"51","res://src/towers/tower_behaviors/village_witch.gd","res://resources/icons/tower_icons/village_witch.tres","res://src/towers/tower_sprites/village_witch_2.tscn","KUQL","VP4D"
"Skilled Witch",3,184,183,"cedi","uncommon","darkness","TRUE","essence",1100,1.6,1076,1076,30,1.5,1200,1100,0,"FALSE","CREEPS",,,,"MOD_MANA,0,1|MOD_MANA_REGEN,0,0.1","188",,"52","res://src/towers/tower_behaviors/village_witch.gd","res://resources/icons/tower_icons/village_witch.tres","res://src/towers/tower_sprites/village_witch_3.tscn","BZWY","4EOA"
"Witch Queen",4,185,183,"cedi","uncommon","darkness","TRUE","essence",1100,1.6,2153,2153,30,1.5,2400,1100,0,"FALSE","CREEPS",,,,"MOD_MANA,0,1|MOD_MANA_REGEN,0,0.1","189",,"53","res://src/towers/tower_behaviors/village_witch.gd","res://resources/icons/tower_icons/village_witch.tres","res://src/towers/tower_sprites/village_witch_4.tscn","VGKA","5BQS"
"Burrow",1,186,186,"tolleder","uncommon","iron","TRUE","physical",700,3,289,289,0,0,70,1500,0,"FALSE","CREEPS",,,,,"190",,,"res://src/towers/tower_behaviors/burrow.gd","res://resources/icons/tower_icons/burrow.tres","res://src/towers/tower_sprites/burrow_1.tscn","XB4X","B1OU"
"Reinforced Burrow",2,189,186,"tolleder","uncommon","iron","TRUE","physical",700,3,1546,1546,0,0,400,1500,0,"FALSE","CREEPS",,,,,"191",,,"res://src/towers/tower_behaviors/burrow.gd","res://resources/icons/tower_icons/burrow.tres","res://src/towers/tower_sprites/burrow_2.tscn","SXDC","KJ6S"
"Fortified Burrow",3,187,186,"tolleder","uncommon","iron","TRUE","physical",700,3,4274,4274,0,0,1200,1500,0,"FALSE","CREEPS",,,,,"192",,,"res://src/towers/tower_behaviors/burrow.gd","res://resources/icons/tower_icons/burrow.tres","res://src/towers/tower_sprites/burrow_3.tscn","G0BT","B3NM"
"Magic Enhanced Burrow",4,188,186,"tolleder","uncommon","iron","TRUE","physical",700,3,8035,8035,0,0,2500,1500,0,"FALSE","CREEPS",,,,,"193",,,"res://src/towers/tower_behaviors/burrow.gd","res://resources/icons/tower_icons/burrow.tres","res://src/towers/tower_sprites/burrow_4.tscn","Z4W1","49ET"
"Owl of Wisdom",1,190,190,"Der_kleine_Tomy","unique","astral","TRUE","energy",900,2,1756,1756,0,0,2300,1000,0,"FALSE","CREEPS",,,,"MOD_SPELL_CRIT_CHANCE,0.0375,0.0015|MOD_SPELL_DAMAGE_DEALT,0,0.01","194,195,196",,,"res://src/towers/tower_behaviors/owl_of_wisdom.gd","res://resources/icons/tower_icons/owl_of_wisdom.tres","res://src/towers/tower_sprites/owl_of_wisdom_1.tscn","4N7Y","MT9R"
"Ancient Owl of Wisdom",2,191,190,"Der_kleine_Tomy","unique","astral","TRUE","energy",900,2,2977,2977,0,0,3900,1000,0,"FALSE","CREEPS",,,,"MOD_SPELL_CRIT_CHANCE,0.0375,0.0015|MOD_SPELL_DAMAGE_DEALT,0,0.01","197,198,199",,,"res://src/towers/tower_behaviors/owl_of_wisdom.gd","res://resources/icons/tower_icons/owl_of_wisdom.tres","res://src/towers/tower_sprites/owl_of_wisdom_2.tscn","HZ37","5U0M"
"Zealot",1,192,192,"dzk87","rare","storm","TRUE","physical",875,2,1051,1161,0,0,500,1800,0.05,"FALSE","CREEPS",,,,,"200,201,202",,,"res://src/towers/tower_behaviors/zealot.gd","res://resources/icons/tower_icons/zealot.tres","res://src/towers/tower_sprites/zealot_1.tscn","1K8O","35GJ"
"Devoted Zealot",2,193,192,"dzk87","rare","storm","TRUE","physical",875,2,2371,2554,0,0,1150,1800,0,"FALSE","CREEPS",,,,,"203,204,205",,,"res://src/towers/tower_behaviors/zealot.gd","res://resources/icons/tower_icons/zealot.tres","res://src/towers/tower_sprites/zealot_2.tscn","VNQ2","SNDT"
"Frenzied Zealot",3,194,192,"dzk87","rare","storm","TRUE","physical",875,2,3798,4065,0,0,1900,1800,0,"FALSE","CREEPS",,,,,"206,207,208",,,"res://src/towers/tower_behaviors/zealot.gd","res://resources/icons/tower_icons/zealot.tres","res://src/towers/tower_sprites/zealot_3.tscn","9NJY","78CN"
"Fanatical Zealot",4,195,192,"dzk87","rare","storm","TRUE","physical",875,2,5767,6219,0,0,3000,1800,0,"FALSE","CREEPS",,,,,"209,210,211",,,"res://src/towers/tower_behaviors/zealot.gd","res://resources/icons/tower_icons/zealot.tres","res://src/towers/tower_sprites/zealot_4.tscn","SPZ5","EIHR"
"Void Drake",1,196,196,"Chronos","rare","darkness","TRUE","essence",1000,1.35,3633,3965,0,0,2000,1500,0.1,"FALSE","CREEPS",,,,"MOD_EXP_RECEIVED,-0.5,-0.06|MOD_ATTACKSPEED,0,0.04|MOD_DAMAGE_BASE_PERC,0,0.12","212,213",,,"res://src/towers/tower_behaviors/void_drake.gd","res://resources/icons/tower_icons/void_drake.tres","res://src/towers/tower_sprites/void_drake_1.tscn","X12A","D5TM"
"Void Dragon",2,248,196,"Chronos","rare","darkness","TRUE","essence",1000,1.35,7769,8001,0,0,3500,1500,0.1,"FALSE","CREEPS",,,,"MOD_EXP_RECEIVED,-0.8,-0.1|MOD_ATTACKSPEED,0,0.04|MOD_DAMAGE_BASE_PERC,0,0.2","214,215",,,"res://src/towers/tower_behaviors/void_drake.gd","res://resources/icons/tower_icons/void_drake.tres","res://src/towers/tower_sprites/void_drake_2.tscn","TWGC","PNCR"
"Solar Collector",1,197,197,"Boekie/D1000","rare","iron","TRUE","energy",800,1,468,468,17,1.5,850,1500,0.1,"FALSE","CREEPS",,,,"MOD_SPELL_CRIT_CHANCE,0.0875,0.005|MOD_SPELL_CRIT_DAMAGE,0.75,0|MOD_MANA,0,1|MOD_MANA_REGEN,0,0.02","216",,"54","res://src/towers/tower_behaviors/solar_collector.gd","res://resources/icons/tower_icons/solar_collector.tres","res://src/towers/tower_sprites/solar_collector_1.tscn","BRC3","4G6X"
"Solar Conductor",2,198,197,"Boekie/D1001","rare","iron","TRUE","energy",800,1,1375,1375,17,3,2500,1500,0.1,"FALSE","CREEPS",,,,"MOD_SPELL_CRIT_CHANCE,0.0875,0.005|MOD_SPELL_CRIT_DAMAGE,0.75,0|MOD_MANA,0,2|MOD_MANA_REGEN,0,0.02","217",,"55","res://src/towers/tower_behaviors/solar_collector.gd","res://resources/icons/tower_icons/solar_collector.tres","res://src/towers/tower_sprites/solar_collector_2.tscn","ODIL","6QS2"
"Zeus",1,199,199,"Boekie","unique","storm","TRUE","energy",1200,2,2581,2600,100,1,2500,1500,0,"FALSE","CREEPS",,,,"MOD_MANA,0,5","218,219",,"56","res://src/towers/tower_behaviors/zeus.gd","res://resources/icons/tower_icons/zeus.tres","res://src/towers/tower_sprites/zeus_1.tscn","DQYD","0106"
"Bonk, the Living Mountain",1,200,200,"Boekie","unique","nature","TRUE","physical",750,3,3670,3670,0,0,2500,1000,0,"FALSE","CREEPS",,"100,1",,"MOD_DMG_TO_MASS,0.25,0.005","220,221,222",,,"res://src/towers/tower_behaviors/bonk_the_living_mountain.gd","res://resources/icons/tower_icons/bonk_the_living_mountain.tres","res://src/towers/tower_sprites/bonk_the_living_mountain_1.tscn","TQOT","1KYG"
"Marine",1,201,201,"Boekie","rare","iron","TRUE","decay",1200,0.6,336,336,30,1.2,1500,2000,0,"FALSE","CREEPS",,,,,"223",,"57","res://src/towers/tower_behaviors/marine.gd","res://resources/icons/tower_icons/marine.tres","res://src/towers/tower_sprites/marine_1.tscn","190M","AU49"
"Experienced Marine",2,294,201,"Boekie","rare","iron","TRUE","decay",1200,0.6,560,560,35,1.3,2500,2000,0,"FALSE","CREEPS",,,,,"224",,"58","res://src/towers/tower_behaviors/marine.gd","res://resources/icons/tower_icons/marine.tres","res://src/towers/tower_sprites/marine_2.tscn","DXCT","A5V5"
"Ancient Energy Converter",1,202,202,"geX","unique","storm","TRUE","energy",1600,1.1,72,2472,1200,20,3500,900,0,"FALSE","CREEPS",,,"3,0.7","MOD_MANA,0,25",,,"59","res://src/towers/tower_behaviors/ancient_energy_converter.gd","res://resources/icons/tower_icons/ancient_energy_converter.tres","res://src/towers/tower_sprites/ancient_energy_converter_1.tscn","YLHO","3C06"
"Caged Fire",1,203,203,"cedi","rare","fire","TRUE","elemental",900,0.4,266,266,0,0,1750,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_MAGIC,-0.5,0|MOD_DMG_TO_NATURE,0.5,0.01",,"25",,"res://src/towers/tower_behaviors/caged_fire.gd","res://resources/icons/tower_icons/caged_fire.tres","res://src/towers/tower_sprites/caged_fire_1.tscn","WW0T","9HGT"
"Caged Inferno",2,204,203,"cedi","rare","fire","TRUE","elemental",900,0.4,533,533,0,0,3500,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_MAGIC,-0.5,0|MOD_DMG_TO_NATURE,0.5,0.01",,"26",,"res://src/towers/tower_behaviors/caged_fire.gd","res://resources/icons/tower_icons/caged_fire.tres","res://src/towers/tower_sprites/caged_fire_2.tscn","HWLB","M7IM"
"Obelisk of Fortuity",1,205,205,"D1000","common","iron","TRUE","physical",800,1.5,62,66,0,0,30,1100,1,"FALSE","CREEPS",,,,,"225",,,"res://src/towers/tower_behaviors/obelisk_of_fortuity.gd","res://resources/icons/tower_icons/obelisk_of_fortuity.tres","res://src/towers/tower_sprites/obelisk_of_fortuity_1.tscn","MS35","ZUF4"
"Altar of Fortuity",2,206,205,"Neotopia","common","iron","TRUE","physical",800,1.5,337,347,0,0,140,1100,1,"FALSE","CREEPS",,,,,"226",,,"res://src/towers/tower_behaviors/obelisk_of_fortuity.gd","res://resources/icons/tower_icons/obelisk_of_fortuity.tres","res://src/towers/tower_sprites/obelisk_of_fortuity_2.tscn","J9DH","C17Y"
"Shrine of Fortuity",3,207,205,"Neotopia","common","iron","TRUE","physical",800,1.5,1396,1415,0,0,400,1100,1,"FALSE","CREEPS",,,,,"227",,,"res://src/towers/tower_behaviors/obelisk_of_fortuity.gd","res://resources/icons/tower_icons/obelisk_of_fortuity.tres","res://src/towers/tower_sprites/obelisk_of_fortuity_3.tscn","E6PK","JZY3"
"Dome of Fortuity",4,208,205,"Neotopia","common","iron","TRUE","physical",800,1.5,4934,4973,0,0,1450,1100,1,"FALSE","CREEPS",,,,,"228",,,"res://src/towers/tower_behaviors/obelisk_of_fortuity.gd","res://resources/icons/tower_icons/obelisk_of_fortuity.tres","res://src/towers/tower_sprites/obelisk_of_fortuity_4.tscn","47U5","W4TP"
"Sanctuary of Fortuity",5,209,205,"Neotopia","common","iron","TRUE","physical",800,1.5,10732,10791,0,0,2450,1100,1,"FALSE","CREEPS",,,,,"229",,,"res://src/towers/tower_behaviors/obelisk_of_fortuity.gd","res://resources/icons/tower_icons/obelisk_of_fortuity.tres","res://src/towers/tower_sprites/obelisk_of_fortuity_5.tscn","WUJJ","JBZB"
"Scales",1,210,210,"cedu","unique","storm","TRUE","energy",1500,1.5,843,851,1100,10,3500,1500,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_AIR,0.2,0.008","230,231,232",,"60","res://src/towers/tower_behaviors/scales.gd","res://resources/icons/tower_icons/scales.tres","res://src/towers/tower_sprites/scales_1.tscn","IS37","L6WB"
"Fisherman",1,211,211,"cedi","unique","ice","TRUE","physical",1100,1,1983,1983,0,0,3000,1200,0.05,"FALSE","CREEPS",,,,"MOD_DAMAGE_BASE_PERC,0,0.08","233,234,235",,,"res://src/towers/tower_behaviors/fisherman.gd","res://resources/icons/tower_icons/fisherman.tres","res://src/towers/tower_sprites/fisherman_1.tscn","4H8G","4ZXS"
"Servant of the Twin Flames",1,212,212,"DaveMatthews","unique","fire","TRUE","physical",900,1.1,2043,2043,0,0,2350,1500,0,"FALSE","CREEPS",,,,,"236,237,238",,,"res://src/towers/tower_behaviors/servant_of_the_twin_flames.gd","res://resources/icons/tower_icons/servant_of_the_twin_flames.tres","res://src/towers/tower_sprites/servant_of_the_twin_flames_1.tscn","9USF","5KX2"
"Keeper of the Twin Flames",2,213,212,"DaveMatthews","unique","fire","TRUE","physical",900,1.1,2825,2825,0,0,3500,1500,0,"FALSE","CREEPS",,,,,"239,240,241",,,"res://src/towers/tower_behaviors/servant_of_the_twin_flames.gd","res://resources/icons/tower_icons/servant_of_the_twin_flames.tres","res://src/towers/tower_sprites/servant_of_the_twin_flames_2.tscn","PDUP","10WS"
"Holy Energy",1,214,214,"DaveMatthews","rare","astral","TRUE","energy",1000,1.4,744,744,100,1.5,1500,1500,0,"FALSE","CREEPS","3",,,"MOD_MANA_REGEN,0,0.1|MOD_BUFF_DURATION,0,0.01",,"27","61","res://src/towers/tower_behaviors/holy_energy.gd","res://resources/icons/tower_icons/holy_energy.tres","res://src/towers/tower_sprites/holy_energy_1.tscn","3S83","M6BC"
"Taita, The Hermit",1,215,215,"DaveMatthews","unique","ice","TRUE","elemental",1000,1.3,3112,3112,0,0,4000,1500,0,"FALSE","CREEPS",,,,,"242,243,244",,,"res://src/towers/tower_behaviors/taita_the_hermit.gd","res://resources/icons/tower_icons/taita_the_hermit.tres","res://src/towers/tower_sprites/taita_the_hermit_1.tscn","PL5N","2OAT"
"It",1,216,216,"axllow","unique","darkness","TRUE","decay",800,2,8684,8684,0,0,4500,1500,0,"FALSE","CREEPS",,,,"MOD_SPELL_CRIT_CHANCE,0.0875,0.005","245,246",,"62,63","res://src/towers/tower_behaviors/it.gd","res://resources/icons/tower_icons/it.tres","res://src/towers/tower_sprites/it_1.tscn","D5ND","MCJS"
"Bomb Turret",1,217,217,"DaveMatthews","rare","iron","TRUE","physical",900,2.6,2429,2429,0,0,950,1300,0,"FALSE","CREEPS",,,,,,,"64,65,66","res://src/towers/tower_behaviors/bomb_turret.gd","res://resources/icons/tower_icons/bomb_turret.tres","res://src/towers/tower_sprites/bomb_turret_1.tscn","5POA","70HK"
"Grand Bomb Turret",2,218,217,"DaveMatthews","rare","iron","TRUE","physical",900,2.6,5113,5113,0,0,2000,1300,0,"FALSE","CREEPS",,,,,,,"67,68,69","res://src/towers/tower_behaviors/bomb_turret.gd","res://resources/icons/tower_icons/bomb_turret.tres","res://src/towers/tower_sprites/bomb_turret_2.tscn","I68Q","ZI35"
"Contraption",1,219,219,"Deemzul","uncommon","iron","TRUE","energy",800,1,160,160,0,0,160,2000,0.1,"FALSE","CREEPS",,,,,"247",,,"res://src/towers/tower_behaviors/contraption.gd","res://resources/icons/tower_icons/contraption.tres","res://src/towers/tower_sprites/contraption_1.tscn","PXUM","VBXF"
"Studded Contraption",2,285,219,"Deemzul","uncommon","iron","TRUE","energy",900,1,330,330,0,0,400,2000,0.15,"FALSE","CREEPS",,,,,"248",,,"res://src/towers/tower_behaviors/contraption.gd","res://resources/icons/tower_icons/contraption.tres","res://src/towers/tower_sprites/contraption_2.tscn","9ZW5","WUWB"
"Dimensional Contraption",3,286,219,"Deemzul","uncommon","iron","TRUE","energy",950,1,842,842,0,0,1200,2000,0.2,"FALSE","CREEPS",,,,,"249",,,"res://src/towers/tower_behaviors/contraption.gd","res://resources/icons/tower_icons/contraption.tres","res://src/towers/tower_sprites/contraption_3.tscn","PBIL","6WSF"
"Extra Dimensional Contraption",4,287,219,"Deemzul","uncommon","iron","TRUE","energy",1000,1,1518,1518,0,0,2400,2000,0.24,"FALSE","CREEPS",,,,,"250",,,"res://src/towers/tower_behaviors/contraption.gd","res://resources/icons/tower_icons/contraption.tres","res://src/towers/tower_sprites/contraption_4.tscn","841X","9B31"
"Shard of Souls",1,220,220,"Der_kleine_Tomy","rare","darkness","FALSE","physical",1000,1,1,1,75,4,750,1500,0,"FALSE","CREEPS",,,,"MOD_BUFF_DURATION,0,0.02","251",,"70","res://src/towers/tower_behaviors/shard_of_souls.gd","res://resources/icons/tower_icons/shard_of_souls.tres","res://src/towers/tower_sprites/shard_of_souls_1.tscn","28HL","NC1S"
"Crystal of Souls",2,222,220,"Der_kleine_Tomy","rare","darkness","FALSE","physical",1000,1,1,1,75,4,2250,1500,0,"FALSE","CREEPS",,,,"MOD_BUFF_DURATION,0,0.02","252",,"71","res://src/towers/tower_behaviors/shard_of_souls.gd","res://resources/icons/tower_icons/shard_of_souls.tres","res://src/towers/tower_sprites/shard_of_souls_2.tscn","VJYV","QEH7"
"Geothermal Extractor",1,221,221,"Velex","rare","fire","TRUE","elemental",700,0.5,185,185,0,0,500,800,0.7,"FALSE","CREEPS",,,,,,"28",,"res://src/towers/tower_behaviors/geothermal_extractor.gd","res://resources/icons/tower_icons/geothermal_extractor.tres","res://src/towers/tower_sprites/geothermal_extractor_1.tscn","SAN6","31RL"
"Geothermal Refinery",2,224,221,"Velex","rare","fire","TRUE","elemental",700,0.5,848,848,0,0,2000,800,0.7,"FALSE","CREEPS",,,,,,"29",,"res://src/towers/tower_behaviors/geothermal_extractor.gd","res://resources/icons/tower_icons/geothermal_extractor.tres","res://src/towers/tower_sprites/geothermal_extractor_2.tscn","DMYC","BUA0"
"Black Dragon Roost",1,223,223,"cedi","unique","darkness","TRUE","essence",800,2,1501,1501,0,0,1600,1000,0.4,"FALSE","CREEPS",,,,,"253",,,"res://src/towers/tower_behaviors/black_dragon_roost.gd","res://resources/icons/tower_icons/black_dragon_roost.tres","res://src/towers/tower_sprites/black_dragon_roost_1.tscn","1EV5","1BH7"
"Small Torch",1,226,226,"Boekie","common","fire","TRUE","elemental",900,0.9,48,48,25,2,70,1500,0,"FALSE","CREEPS",,,,,,,"72","res://src/towers/tower_behaviors/small_torch.gd","res://resources/icons/tower_icons/small_torch.tres","res://src/towers/tower_sprites/small_torch_1.tscn","1O66","0OHO"
"Torch",2,225,226,"Boekie","common","fire","TRUE","elemental",900,0.9,173,173,30,2,250,1500,0,"FALSE","CREEPS",,,,,,,"73","res://src/towers/tower_behaviors/small_torch.gd","res://resources/icons/tower_icons/small_torch.tres","res://src/towers/tower_sprites/small_torch_2.tscn","7E0K","IWGJ"
